municipality,equipment_id,equipment_name,predicted_demand,allocated_stock,procurement_needed,urgency_level,unit_cost_lakhs,estimated_procurement_cost,annual_budget_lakhs,budget_feasible
Vijayawada,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,43000,YES
Jabalpur,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,44000,YES
Bhubaneswar,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,42000,YES
Srinagar,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,39000,YES
Raipur,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,41000,YES
Mysuru,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,42000,YES
Ranchi,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,38000,YES
Jodhpur,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,41000,YES
Siliguri,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,30000,YES
Gwalior,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,37000,YES
Guwahati,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,35000,YES
Durgapur,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,27000,YES
Dehradun,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,36000,YES
Hubli,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,33000,YES
Udaipur,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,28000,YES
Kharagpur,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,17000,YES
Tirupati,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,24000,YES
Malda,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,14000,YES
Haldia,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,15000,YES
Shimla,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,16000,YES
Panaji,E007,Dumper Placer Vehicle,1,1,0,LOW,15,0,22000,YES
Delhi,E008,Waste Collection Container,19,19,0,LOW,4,0,650000,YES
Mumbai,E008,Waste Collection Container,13,13,0,LOW,4,0,500000,YES
Bengaluru,E008,Waste Collection Container,10,10,0,LOW,4,0,320000,YES
Chennai,E008,Waste Collection Container,9,9,0,LOW,4,0,310000,YES
Hyderabad,E008,Waste Collection Container,8,8,0,LOW,4,0,280000,YES
Kolkata,E008,Waste Collection Container,7,7,0,LOW,4,0,210000,YES
Ahmedabad,E008,Waste Collection Container,6,6,0,LOW,4,0,230000,YES
Pune,E008,Waste Collection Container,4,4,0,LOW,4,0,120000,YES
Surat,E008,Waste Collection Container,4,4,0,LOW,4,0,140000,YES
Lucknow,E008,Waste Collection Container,3,3,0,LOW,4,0,95000,YES
Jaipur,E008,Waste Collection Container,3,3,0,LOW,4,0,98000,YES
Thane,E008,Waste Collection Container,2,2,0,LOW,4,0,76000,YES
Kanpur,E008,Waste Collection Container,3,3,0,LOW,4,0,85000,YES
Visakhapatnam,E008,Waste Collection Container,2,2,0,LOW,4,0,82000,YES
Indore,E008,Waste Collection Container,2,2,0,LOW,4,0,75000,YES
Coimbatore,E008,Waste Collection Container,2,2,0,LOW,4,0,70000,YES
Nagpur,E008,Waste Collection Container,2,2,0,LOW,4,0,70000,YES
Faridabad,E008,Waste Collection Container,2,2,0,LOW,4,0,68000,YES
Ludhiana,E008,Waste Collection Container,2,2,0,LOW,4,0,62000,YES
Asansol,E008,Waste Collection Container,1,1,0,LOW,4,0,56000,YES
Patna,E008,Waste Collection Container,2,2,0,LOW,4,0,52000,YES
Howrah,E008,Waste Collection Container,1,1,0,LOW,4,0,51000,YES
Agra,E008,Waste Collection Container,2,2,0,LOW,4,0,53000,YES
Nashik,E008,Waste Collection Container,2,2,0,LOW,4,0,58000,YES
Varanasi,E008,Waste Collection Container,1,1,0,LOW,4,0,47000,YES
Madurai,E008,Waste Collection Container,1,1,0,LOW,4,0,51000,YES
Amritsar,E008,Waste Collection Container,1,1,0,LOW,4,0,46000,YES
Aurangabad,E008,Waste Collection Container,1,1,0,LOW,4,0,45000,YES
Kochi,E008,Waste Collection Container,1,1,0,LOW,4,0,52000,YES
Vijayawada,E008,Waste Collection Container,1,1,0,LOW,4,0,43000,YES
Jabalpur,E008,Waste Collection Container,1,1,0,LOW,4,0,44000,YES
Bhubaneswar,E008,Waste Collection Container,1,1,0,LOW,4,0,42000,YES
Srinagar,E008,Waste Collection Container,1,1,0,LOW,4,0,39000,YES
Raipur,E008,Waste Collection Container,1,1,0,LOW,4,0,41000,YES
Mysuru,E008,Waste Collection Container,1,1,0,LOW,4,0,42000,YES
Ranchi,E008,Waste Collection Container,1,1,0,LOW,4,0,38000,YES
Jodhpur,E008,Waste Collection Container,1,1,0,LOW,4,0,41000,YES
Siliguri,E008,Waste Collection Container,1,1,0,LOW,4,0,30000,YES
Gwalior,E008,Waste Collection Container,1,1,0,LOW,4,0,37000,YES
Guwahati,E008,Waste Collection Container,1,1,0,LOW,4,0,35000,YES
Durgapur,E008,Waste Collection Container,1,1,0,LOW,4,0,27000,YES
Dehradun,E008,Waste Collection Container,1,1,0,LOW,4,0,36000,YES
Hubli,E008,Waste Collection Container,1,1,0,LOW,4,0,33000,YES
Udaipur,E008,Waste Collection Container,1,1,0,LOW,4,0,28000,YES
Kharagpur,E008,Waste Collection Container,1,1,0,LOW,4,0,17000,YES
Tirupati,E008,Waste Collection Container,1,1,0,LOW,4,0,24000,YES
Malda,E008,Waste Collection Container,1,1,0,LOW,4,0,14000,YES
Haldia,E008,Waste Collection Container,1,1,0,LOW,4,0,15000,YES
Shimla,E008,Waste Collection Container,1,1,0,LOW,4,0,16000,YES
Panaji,E008,Waste Collection Container,1,1,0,LOW,4,0,22000,YES
Delhi,E009,Hydraulic Waste Loader,19,8,11,MEDIUM,14,154,650000,YES
Mumbai,E009,Hydraulic Waste Loader,13,6,7,MEDIUM,14,98,500000,YES
Bengaluru,E009,Hydraulic Waste Loader,10,5,5,MEDIUM,14,70,320000,YES
Chennai,E009,Hydraulic Waste Loader,9,5,4,MEDIUM,14,56,310000,YES
Hyderabad,E009,Hydraulic Waste Loader,8,4,4,MEDIUM,14,56,280000,YES
Kolkata,E009,Hydraulic Waste Loader,7,4,3,MEDIUM,14,42,210000,YES
Ahmedabad,E009,Hydraulic Waste Loader,6,4,2,LOW,14,28,230000,YES
Pune,E009,Hydraulic Waste Loader,4,3,1,LOW,14,14,120000,YES
Surat,E009,Hydraulic Waste Loader,4,3,1,LOW,14,14,140000,YES
Lucknow,E009,Hydraulic Waste Loader,3,2,1,LOW,14,14,95000,YES
Jaipur,E009,Hydraulic Waste Loader,3,2,1,LOW,14,14,98000,YES
Thane,E009,Hydraulic Waste Loader,2,2,0,LOW,14,0,76000,YES
Kanpur,E009,Hydraulic Waste Loader,3,2,1,LOW,14,14,85000,YES
Visakhapatnam,E009,Hydraulic Waste Loader,2,2,0,LOW,14,0,82000,YES
Indore,E009,Hydraulic Waste Loader,2,2,0,LOW,14,0,75000,YES
Coimbatore,E009,Hydraulic Waste Loader,2,2,0,LOW,14,0,70000,YES
Nagpur,E009,Hydraulic Waste Loader,2,2,0,LOW,14,0,70000,YES
Faridabad,E009,Hydraulic Waste Loader,2,2,0,LOW,14,0,68000,YES
Ludhiana,E009,Hydraulic Waste Loader,2,2,0,LOW,14,0,62000,YES
Asansol,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,56000,YES
Patna,E009,Hydraulic Waste Loader,2,2,0,LOW,14,0,52000,YES
Howrah,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,51000,YES
Agra,E009,Hydraulic Waste Loader,2,2,0,LOW,14,0,53000,YES
Nashik,E009,Hydraulic Waste Loader,2,2,0,LOW,14,0,58000,YES
Varanasi,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,47000,YES
Madurai,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,51000,YES
Amritsar,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,46000,YES
Aurangabad,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,45000,YES
Kochi,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,52000,YES
Vijayawada,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,43000,YES
Jabalpur,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,44000,YES
Bhubaneswar,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,42000,YES
Srinagar,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,39000,YES
Raipur,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,41000,YES
Mysuru,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,42000,YES
Ranchi,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,38000,YES
Jodhpur,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,41000,YES
Siliguri,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,30000,YES
Gwalior,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,37000,YES
Guwahati,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,35000,YES
Durgapur,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,27000,YES
Dehradun,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,36000,YES
Hubli,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,33000,YES
Udaipur,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,28000,YES
Kharagpur,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,17000,YES
Tirupati,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,24000,YES
Malda,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,14000,YES
Haldia,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,15000,YES
Shimla,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,16000,YES
Panaji,E009,Hydraulic Waste Loader,1,1,0,LOW,14,0,22000,YES
Delhi,E010,Transfer Station Container,19,6,13,MEDIUM,7,91,650000,YES
Mumbai,E010,Transfer Station Container,13,4,9,MEDIUM,7,63,500000,YES
Bengaluru,E010,Transfer Station Container,10,4,6,MEDIUM,7,42,320000,YES
Chennai,E010,Transfer Station Container,9,4,5,MEDIUM,7,35,310000,YES
Hyderabad,E010,Transfer Station Container,8,3,5,MEDIUM,7,35,280000,YES
Kolkata,E010,Transfer Station Container,7,3,4,MEDIUM,7,28,210000,YES
Ahmedabad,E010,Transfer Station Container,6,3,3,MEDIUM,7,21,230000,YES
Pune,E010,Transfer Station Container,4,2,2,MEDIUM,7,14,120000,YES
Surat,E010,Transfer Station Container,4,2,2,MEDIUM,7,14,140000,YES
Lucknow,E010,Transfer Station Container,3,2,1,LOW,7,7,95000,YES
Jaipur,E010,Transfer Station Container,3,2,1,LOW,7,7,98000,YES
Thane,E010,Transfer Station Container,2,2,0,LOW,7,0,76000,YES
Kanpur,E010,Transfer Station Container,3,2,1,LOW,7,7,85000,YES
Visakhapatnam,E010,Transfer Station Container,2,1,1,MEDIUM,7,7,82000,YES
Indore,E010,Transfer Station Container,2,1,1,MEDIUM,7,7,75000,YES
Coimbatore,E010,Transfer Station Container,2,1,1,MEDIUM,7,7,70000,YES
Nagpur,E010,Transfer Station Container,2,1,1,MEDIUM,7,7,70000,YES
Faridabad,E010,Transfer Station Container,2,1,1,MEDIUM,7,7,68000,YES
Ludhiana,E010,Transfer Station Container,2,1,1,MEDIUM,7,7,62000,YES
Asansol,E010,Transfer Station Container,1,1,0,LOW,7,0,56000,YES
Patna,E010,Transfer Station Container,2,1,1,MEDIUM,7,7,52000,YES
Howrah,E010,Transfer Station Container,1,1,0,LOW,7,0,51000,YES
Agra,E010,Transfer Station Container,2,1,1,MEDIUM,7,7,53000,YES
Nashik,E010,Transfer Station Container,2,1,1,MEDIUM,7,7,58000,YES
Varanasi,E010,Transfer Station Container,1,1,0,LOW,7,0,47000,YES
Madurai,E010,Transfer Station Container,1,1,0,LOW,7,0,51000,YES
Amritsar,E010,Transfer Station Container,1,1,0,LOW,7,0,46000,YES
Aurangabad,E010,Transfer Station Container,1,1,0,LOW,7,0,45000,YES
Kochi,E010,Transfer Station Container,1,1,0,LOW,7,0,52000,YES
Vijayawada,E010,Transfer Station Container,1,1,0,LOW,7,0,43000,YES
Jabalpur,E010,Transfer Station Container,1,1,0,LOW,7,0,44000,YES
Bhubaneswar,E010,Transfer Station Container,1,1,0,LOW,7,0,42000,YES
Srinagar,E010,Transfer Station Container,1,1,0,LOW,7,0,39000,YES
Raipur,E010,Transfer Station Container,1,1,0,LOW,7,0,41000,YES
Mysuru,E010,Transfer Station Container,1,1,0,LOW,7,0,42000,YES
Ranchi,E010,Transfer Station Container,1,1,0,LOW,7,0,38000,YES
Jodhpur,E010,Transfer Station Container,1,1,0,LOW,7,0,41000,YES
Siliguri,E010,Transfer Station Container,1,1,0,LOW,7,0,30000,YES
Gwalior,E010,Transfer Station Container,1,1,0,LOW,7,0,37000,YES
Guwahati,E010,Transfer Station Container,1,1,0,LOW,7,0,35000,YES
Durgapur,E010,Transfer Station Container,1,1,0,LOW,7,0,27000,YES
Dehradun,E010,Transfer Station Container,1,1,0,LOW,7,0,36000,YES
Hubli,E010,Transfer Station Container,1,1,0,LOW,7,0,33000,YES
Udaipur,E010,Transfer Station Container,1,1,0,LOW,7,0,28000,YES
Kharagpur,E010,Transfer Station Container,1,1,0,LOW,7,0,17000,YES
Tirupati,E010,Transfer Station Container,1,1,0,LOW,7,0,24000,YES
Malda,E010,Transfer Station Container,1,1,0,LOW,7,0,14000,YES
Haldia,E010,Transfer Station Container,1,1,0,LOW,7,0,15000,YES
Shimla,E010,Transfer Station Container,1,1,0,LOW,7,0,16000,YES
Panaji,E010,Transfer Station Container,1,1,0,LOW,7,0,22000,YES
Delhi,E011,Plastic Baler Machine,17,7,10,MEDIUM,10,100,650000,YES
Mumbai,E011,Plastic Baler Machine,11,5,6,MEDIUM,10,60,500000,YES
Bengaluru,E011,Plastic Baler Machine,8,4,4,MEDIUM,10,40,320000,YES
Chennai,E011,Plastic Baler Machine,8,4,4,MEDIUM,10,40,310000,YES
Hyderabad,E011,Plastic Baler Machine,7,4,3,MEDIUM,10,30,280000,YES
Kolkata,E011,Plastic Baler Machine,6,4,2,LOW,10,20,210000,YES
Ahmedabad,E011,Plastic Baler Machine,6,3,3,MEDIUM,10,30,230000,YES
Pune,E011,Plastic Baler Machine,4,2,2,MEDIUM,10,20,120000,YES
Surat,E011,Plastic Baler Machine,4,2,2,MEDIUM,10,20,140000,YES
Lucknow,E011,Plastic Baler Machine,3,2,1,LOW,10,10,95000,YES
Thane,E011,Plastic Baler Machine,2,2,0,LOW,10,0,76000,YES
Jaipur,E011,Plastic Baler Machine,2,2,0,LOW,10,0,98000,YES
Kanpur,E011,Plastic Baler Machine,2,2,0,LOW,10,0,85000,YES
Visakhapatnam,E011,Plastic Baler Machine,2,2,0,LOW,10,0,82000,YES
Indore,E011,Plastic Baler Machine,2,2,0,LOW,10,0,75000,YES
Coimbatore,E011,Plastic Baler Machine,2,2,0,LOW,10,0,70000,YES
Nagpur,E011,Plastic Baler Machine,2,2,0,LOW,10,0,70000,YES
Asansol,E011,Plastic Baler Machine,1,1,0,LOW,10,0,56000,YES
Faridabad,E011,Plastic Baler Machine,1,1,0,LOW,10,0,68000,YES
Ludhiana,E011,Plastic Baler Machine,1,1,0,LOW,10,0,62000,YES
Howrah,E011,Plastic Baler Machine,1,1,0,LOW,10,0,51000,YES
Patna,E011,Plastic Baler Machine,2,2,0,LOW,10,0,52000,YES
Nashik,E011,Plastic Baler Machine,1,1,0,LOW,10,0,58000,YES
Agra,E011,Plastic Baler Machine,1,1,0,LOW,10,0,53000,YES
Madurai,E011,Plastic Baler Machine,1,1,0,LOW,10,0,51000,YES
Aurangabad,E011,Plastic Baler Machine,1,1,0,LOW,10,0,45000,YES
Varanasi,E011,Plastic Baler Machine,1,1,0,LOW,10,0,47000,YES
Amritsar,E011,Plastic Baler Machine,1,1,0,LOW,10,0,46000,YES
Kochi,E011,Plastic Baler Machine,1,1,0,LOW,10,0,52000,YES
Raipur,E011,Plastic Baler Machine,1,1,0,LOW,10,0,41000,YES
Jabalpur,E011,Plastic Baler Machine,1,1,0,LOW,10,0,44000,YES
Vijayawada,E011,Plastic Baler Machine,1,1,0,LOW,10,0,43000,YES
Durgapur,E011,Plastic Baler Machine,1,1,0,LOW,10,0,27000,YES
Ranchi,E011,Plastic Baler Machine,1,1,0,LOW,10,0,38000,YES
Bhubaneswar,E011,Plastic Baler Machine,1,1,0,LOW,10,0,42000,YES
Mysuru,E011,Plastic Baler Machine,1,1,0,LOW,10,0,42000,YES
Gwalior,E011,Plastic Baler Machine,1,1,0,LOW,10,0,37000,YES
Jodhpur,E011,Plastic Baler Machine,1,1,0,LOW,10,0,41000,YES
Siliguri,E011,Plastic Baler Machine,1,1,0,LOW,10,0,30000,YES
Srinagar,E011,Plastic Baler Machine,1,1,0,LOW,10,0,39000,YES
Hubli,E011,Plastic Baler Machine,1,1,0,LOW,10,0,33000,YES
Guwahati,E011,Plastic Baler Machine,1,1,0,LOW,10,0,35000,YES
Dehradun,E011,Plastic Baler Machine,1,1,0,LOW,10,0,36000,YES
Haldia,E011,Plastic Baler Machine,1,1,0,LOW,10,0,15000,YES
Kharagpur,E011,Plastic Baler Machine,1,1,0,LOW,10,0,17000,YES
Udaipur,E011,Plastic Baler Machine,1,1,0,LOW,10,0,28000,YES
Panaji,E011,Plastic Baler Machine,1,1,0,LOW,10,0,22000,YES
Tirupati,E011,Plastic Baler Machine,1,1,0,LOW,10,0,24000,YES
Malda,E011,Plastic Baler Machine,1,1,0,LOW,10,0,14000,YES
Shimla,E011,Plastic Baler Machine,1,1,0,LOW,10,0,16000,YES
Delhi,E012,Organic Waste Shredder,19,8,11,MEDIUM,8,88,650000,YES
Mumbai,E012,Organic Waste Shredder,13,5,8,MEDIUM,8,64,500000,YES
Bengaluru,E012,Organic Waste Shredder,10,5,5,MEDIUM,8,40,320000,YES
Chennai,E012,Organic Waste Shredder,9,4,5,MEDIUM,8,40,310000,YES
Hyderabad,E012,Organic Waste Shredder,8,4,4,MEDIUM,8,32,280000,YES
Kolkata,E012,Organic Waste Shredder,7,4,3,MEDIUM,8,24,210000,YES
Ahmedabad,E012,Organic Waste Shredder,6,4,2,LOW,8,16,230000,YES
Pune,E012,Organic Waste Shredder,4,3,1,LOW,8,8,120000,YES
Surat,E012,Organic Waste Shredder,4,2,2,MEDIUM,8,16,140000,YES
Lucknow,E012,Organic Waste Shredder,3,2,1,LOW,8,8,95000,YES
Jaipur,E012,Organic Waste Shredder,3,2,1,LOW,8,8,98000,YES
Thane,E012,Organic Waste Shredder,2,2,0,LOW,8,0,76000,YES
Kanpur,E012,Organic Waste Shredder,3,2,1,LOW,8,8,85000,YES
Visakhapatnam,E012,Organic Waste Shredder,2,2,0,LOW,8,0,82000,YES
Indore,E012,Organic Waste Shredder,2,2,0,LOW,8,0,75000,YES
Coimbatore,E012,Organic Waste Shredder,2,2,0,LOW,8,0,70000,YES
Nagpur,E012,Organic Waste Shredder,2,2,0,LOW,8,0,70000,YES
Faridabad,E012,Organic Waste Shredder,2,2,0,LOW,8,0,68000,YES
Ludhiana,E012,Organic Waste Shredder,2,2,0,LOW,8,0,62000,YES
Asansol,E012,Organic Waste Shredder,1,1,0,LOW,8,0,56000,YES
Patna,E012,Organic Waste Shredder,2,2,0,LOW,8,0,52000,YES
Howrah,E012,Organic Waste Shredder,1,1,0,LOW,8,0,51000,YES
Agra,E012,Organic Waste Shredder,2,2,0,LOW,8,0,53000,YES
Nashik,E012,Organic Waste Shredder,2,2,0,LOW,8,0,58000,YES
Varanasi,E012,Organic Waste Shredder,1,1,0,LOW,8,0,47000,YES
Madurai,E012,Organic Waste Shredder,1,1,0,LOW,8,0,51000,YES
Amritsar,E012,Organic Waste Shredder,1,1,0,LOW,8,0,46000,YES
Aurangabad,E012,Organic Waste Shredder,1,1,0,LOW,8,0,45000,YES
Kochi,E012,Organic Waste Shredder,1,1,0,LOW,8,0,52000,YES
Vijayawada,E012,Organic Waste Shredder,1,1,0,LOW,8,0,43000,YES
Jabalpur,E012,Organic Waste Shredder,1,1,0,LOW,8,0,44000,YES
Bhubaneswar,E012,Organic Waste Shredder,1,1,0,LOW,8,0,42000,YES
Srinagar,E012,Organic Waste Shredder,1,1,0,LOW,8,0,39000,YES
Raipur,E012,Organic Waste Shredder,1,1,0,LOW,8,0,41000,YES
Mysuru,E012,Organic Waste Shredder,1,1,0,LOW,8,0,42000,YES
Ranchi,E012,Organic Waste Shredder,1,1,0,LOW,8,0,38000,YES
Jodhpur,E012,Organic Waste Shredder,1,1,0,LOW,8,0,41000,YES
Siliguri,E012,Organic Waste Shredder,1,1,0,LOW,8,0,30000,YES
Gwalior,E012,Organic Waste Shredder,1,1,0,LOW,8,0,37000,YES
Guwahati,E012,Organic Waste Shredder,1,1,0,LOW,8,0,35000,YES
Durgapur,E012,Organic Waste Shredder,1,1,0,LOW,8,0,27000,YES
Dehradun,E012,Organic Waste Shredder,1,1,0,LOW,8,0,36000,YES
Hubli,E012,Organic Waste Shredder,1,1,0,LOW,8,0,33000,YES
Udaipur,E012,Organic Waste Shredder,1,1,0,LOW,8,0,28000,YES
Kharagpur,E012,Organic Waste Shredder,1,1,0,LOW,8,0,17000,YES
Tirupati,E012,Organic Waste Shredder,1,1,0,LOW,8,0,24000,YES
Malda,E012,Organic Waste Shredder,1,1,0,LOW,8,0,14000,YES
Haldia,E012,Organic Waste Shredder,1,1,0,LOW,8,0,15000,YES
Shimla,E012,Organic Waste Shredder,1,1,0,LOW,8,0,16000,YES
Panaji,E012,Organic Waste Shredder,1,1,0,LOW,8,0,22000,YES
Delhi,E013,Bio Waste Composting Machine,19,5,14,HIGH,13,182,650000,YES
Mumbai,E013,Bio Waste Composting Machine,13,4,9,MEDIUM,13,117,500000,YES
Bengaluru,E013,Bio Waste Composting Machine,10,3,7,MEDIUM,13,91,320000,YES
Chennai,E013,Bio Waste Composting Machine,9,3,6,MEDIUM,13,78,310000,YES
Hyderabad,E013,Bio Waste Composting Machine,8,3,5,MEDIUM,13,65,280000,YES
Kolkata,E013,Bio Waste Composting Machine,7,3,4,MEDIUM,13,52,210000,YES
Ahmedabad,E013,Bio Waste Composting Machine,6,2,4,MEDIUM,13,52,230000,YES
Pune,E013,Bio Waste Composting Machine,4,2,2,MEDIUM,13,26,120000,YES
Surat,E013,Bio Waste Composting Machine,4,2,2,MEDIUM,13,26,140000,YES
Lucknow,E013,Bio Waste Composting Machine,3,1,2,MEDIUM,13,26,95000,YES
Jaipur,E013,Bio Waste Composting Machine,3,1,2,MEDIUM,13,26,98000,YES
Thane,E013,Bio Waste Composting Machine,2,1,1,MEDIUM,13,13,76000,YES
Kanpur,E013,Bio Waste Composting Machine,3,1,2,MEDIUM,13,26,85000,YES
Visakhapatnam,E013,Bio Waste Composting Machine,2,1,1,MEDIUM,13,13,82000,YES
Indore,E013,Bio Waste Composting Machine,2,1,1,MEDIUM,13,13,75000,YES
Coimbatore,E013,Bio Waste Composting Machine,2,1,1,MEDIUM,13,13,70000,YES
Nagpur,E013,Bio Waste Composting Machine,2,1,1,MEDIUM,13,13,70000,YES
Faridabad,E013,Bio Waste Composting Machine,2,1,1,MEDIUM,13,13,68000,YES
Ludhiana,E013,Bio Waste Composting Machine,2,1,1,MEDIUM,13,13,62000,YES
Asansol,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,56000,YES
Patna,E013,Bio Waste Composting Machine,2,1,1,MEDIUM,13,13,52000,YES
Howrah,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,51000,YES
Agra,E013,Bio Waste Composting Machine,2,1,1,MEDIUM,13,13,53000,YES
Nashik,E013,Bio Waste Composting Machine,2,1,1,MEDIUM,13,13,58000,YES
Varanasi,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,47000,YES
Madurai,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,51000,YES
Amritsar,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,46000,YES
Aurangabad,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,45000,YES
Kochi,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,52000,YES
Vijayawada,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,43000,YES
Jabalpur,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,44000,YES
Bhubaneswar,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,42000,YES
Srinagar,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,39000,YES
Raipur,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,41000,YES
Mysuru,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,42000,YES
Ranchi,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,38000,YES
Jodhpur,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,41000,YES
Siliguri,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,30000,YES
Gwalior,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,37000,YES
Guwahati,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,35000,YES
Durgapur,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,27000,YES
Dehradun,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,36000,YES
Hubli,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,33000,YES
Udaipur,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,28000,YES
Kharagpur,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,17000,YES
Tirupati,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,24000,YES
Malda,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,14000,YES
Haldia,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,15000,YES
Shimla,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,16000,YES
Panaji,E013,Bio Waste Composting Machine,1,1,0,LOW,13,0,22000,YES
Delhi,E014,Portable Garbage Bin Set,17,17,0,LOW,2,0,650000,YES
Mumbai,E014,Portable Garbage Bin Set,11,11,0,LOW,2,0,500000,YES
Bengaluru,E014,Portable Garbage Bin Set,8,8,0,LOW,2,0,320000,YES
Chennai,E014,Portable Garbage Bin Set,8,8,0,LOW,2,0,310000,YES
Kolkata,E014,Portable Garbage Bin Set,6,6,0,LOW,2,0,210000,YES
Hyderabad,E014,Portable Garbage Bin Set,7,7,0,LOW,2,0,280000,YES
Ahmedabad,E014,Portable Garbage Bin Set,6,6,0,LOW,2,0,230000,YES
Pune,E014,Portable Garbage Bin Set,4,4,0,LOW,2,0,120000,YES
Surat,E014,Portable Garbage Bin Set,4,4,0,LOW,2,0,140000,YES
Jaipur,E014,Portable Garbage Bin Set,2,2,0,LOW,2,0,98000,YES
Lucknow,E014,Portable Garbage Bin Set,3,3,0,LOW,2,0,95000,YES
Thane,E014,Portable Garbage Bin Set,2,2,0,LOW,2,0,76000,YES
Visakhapatnam,E014,Portable Garbage Bin Set,2,2,0,LOW,2,0,82000,YES
Kanpur,E014,Portable Garbage Bin Set,2,2,0,LOW,2,0,85000,YES
Coimbatore,E014,Portable Garbage Bin Set,2,2,0,LOW,2,0,70000,YES
Indore,E014,Portable Garbage Bin Set,2,2,0,LOW,2,0,75000,YES
Agra,E014,Portable Garbage Bin Set,1,1,0,LOW,2,0,53000,YES
Nagpur,E014,Portable Garbage Bin Set,2,2,0,LOW,2,0,70000,YES
Varanasi,E014,Portable Garbage Bin Set,1,1,0,LOW,2,0,47000,YES
Howrah,E014,Portable Garbage Bin Set,1,1,0,LOW,2,0,51000,YES
Patna,E014,Portable Garbage Bin Set,2,2,0,LOW,2,0,52000,YES
